station_name,start_count,end_count,lat,lng
W 37 St & 10 Ave,0.0,1,40.75660359,-73.9979009
W 37 St & Broadway,0.0,2,40.75227093837409,-73.98770570755005
W 4 St & 7 Ave S,0.0,6,40.73401143,-74.00293877
W 40 St & 7 Ave,0.0,3,40.754818,-73.988154
W 41 St & 8 Ave,0.0,1,40.75640548,-73.9900262
W 42 St & 6 Ave,0.0,1,40.75492,-73.98455
W 42 St & 8 Ave,0.0,1,40.7575699,-73.99098507
W 42 St & Dyer Ave,0.0,1,40.75898481399634,-73.99379968643188
W 44 St & 11 Ave,0.0,3,40.762009,-73.996975
W 44 St & 5 Ave,0.0,3,40.75500254,-73.98014437
W 45 St & 8 Ave,0.0,2,40.75929124,-73.98859651
W 47 St & 6 Ave,0.0,1,40.758397,-73.98255
W 48 St &  Rockefeller Plaza,0.0,2,40.75776935448309,-73.97929430007935
W 50 St & 10 Ave,0.0,1,40.76473420006519,-73.99194359779358
W 50 St & 9 Ave,0.0,1,40.76360467795863,-73.98917958140373
W 51 St & 6 Ave,0.0,1,40.7606597,-73.98042047
W 52 St & 6 Ave,0.0,1,40.76132983124814,-73.97982001304626
W 54 St & 11 Ave,0.0,2,40.768333,-73.992573
W 56 St & 8 Ave,0.0,2,40.765959181657976,-73.98313522338867
W 59 St & 10 Ave,0.0,1,40.770513,-73.988038
W 67 St & Broadway,0.0,1,40.77492513,-73.98266566
W 70 St & Amsterdam Ave,0.0,1,40.77748046,-73.98288594
W Broadway & Spring St,0.0,1,40.72494672359416,-74.00165855884552
W Broadway & W Houston St,0.0,13,40.726378,-74.000472
Warren St & W Broadway,0.0,5,40.71473993,-74.00910627
Washington St & Laight St,0.0,6,40.72231,-74.0106
Water St &  Fletcher St,0.0,5,40.706410755236135,-74.00559738278389
Water St & Gouverneur Ln,0.0,10,40.70469667894968,-74.00803416967392
Watts St & Greenwich St,0.0,3,40.72405549,-74.00965965
West St & Chambers St,0.0,13,40.71754834,-74.01322069
West St & Liberty St,0.0,2,40.711444,-74.014847
West Thames St,0.0,15,40.70834698,-74.01713445
William St & Pine St,0.0,7,40.70717936,-74.00887308
York St,0.0,1,40.71649,-74.04105
